x,y
stupid informs wealth dumb bad just wouldnt plot minutes,1
loyal hideous gunga wonderful 1939 minimum nuances cary grant victor mclaglen douglas fairbanks jr mclaglen distinguished fairbanks sterling grant jaffe heartbreaking radiant dignity courage stalwart joan robert hideous,1
plot wooden redeeming tedious mess,0
portrait zombie portrait zombie portrait zombie,1
starring wang dont stop shoot beautiful plot touching beautiful,1
trash just rented expecting nudity expecting laughing inept wouldnt redeeming,1
oh oh suck broderick ally effects rubbish hacking avoid,0
sterling dilemma barrymore powerhouse,1
stop gunga gunga excellently grant mclaglen fairbanks jaffe rating,1
shirley cooper carole lombard minutes dont cooper,1
just stop godawful seriously 1 monster monster bullets monster yards monster monster dont shoot monster monster 5 just wouldnt awful rubber monster godawful,0
worthless just derivative burn gore dont youve awake costs dollars effects seriously boll gore cgi sooooo gore,0
unless rented rented jean parker patricia handles slit fishburne bad stern just childhood effects jump beautiful bad just shoddy fishburne wonderful rehash triumph throw,0
clunky bloom predictable bad jagger,0
holes holes just just crappy 5,1
just seriously awful awful unnecessary gloria terrible worst,0
yawn errors just cheap oops,0
delightful walters lovely,1
comedienne turbulent york judy davis judy garland york strongwilled vance york charismatic vance william frawley newman just oppenheimer 1948 1951 depicts marc william york connecticut buying conveying oppenheimer york portrait errors effectively,1
wooden 1943,1
flick sterling bmovies bad plot bad bad bad bad bad bad bad bad dont hall dumb,1
dont bother bad awful bad silly suck,0
dont just guess beautiful beautiful beautiful learns youd,1
just bad silly charming tasteless jokes jokes else charming hey,1
effects strength couldnt amateurish demonstrated relationship jump jump explores repetitive repetitive boring random just couldnt plot dull just else dont just just threw subpar rushed repetitive uneventful miserably,0
bad dull dont bad gratuitous just cut nonsense plot just insulting just saying,1
please bunch just worse predictable belmondo pile dung le des,1
plot charming plot reginald gardiner,1
just sit dont spoilers mature ella enchanted corny bored repetitive previews generic clichéd dont fooled disbelief 90 tale bullets grab cgi offend couldve figured just yourself wonderful,1
awful bunch gore poorly snakes joking joke dont waste hyped trash just snakes,0
scary bunch,1
minutes james 5 minutes buying,0
sounded slit badly fake honestly sounded brenda laugh predictable unless boring predictable plot wooden,0
dont dont,1
slasher flick horribly burnt horrible slasher horrendous bad carol just awful poorly 30s slasher flick bad cheesy slasher dont dilemma horrible,0
york blandings cary grant blandings grant myrna loy melvyn douglas grant loy thin william powell douglas douglas throw blandings stupid blandings plot,1
ok cheese,1
bunch nonsense chopped wires scares gore throw david jan de crap damn,0
worst plot stupid clichés ridiculously bad silly bad ludicrous bad laughing worse clown,0
communist loving sublime,1
adventures hugh portrayal messy else figured figured plot automatic effects uwe boll youve awful clichés bad generic generic plot holes mean mean dont yeah just dont alright yeah yeah mean mutant oh shut bunch bad else fat oh yeah zero stupid waste yourself,0
saying dont spoiler couldnt,1
couldnt laughed pretentious dont sorry,0
flick,1
just couldnt swearing swearing laugh retarded horribly damn,0
5 just,1
vcr bad bad just minutes dont,0
beautiful de 150 de brings eaten recreates loving messy pathetic just,1
previews stupid silly waste sit,0
flick remotely roman shelf james budget amateurish swear limbs camcorder just dont rent expecting,1
ward sorry guns sorry just,0
stupid silly low budget seriously cardboard knock effects beautiful stunning edward jokes lame journey wonderfully toilet fetched dont jokes courage,1
imdb worst lame seagal dont low rent mean burn gonna,0
just just dont dont plot cheesy york just,0
orson welles moronic just just,1
relationship figured just else offended cliché couldve seriously chainsaw bad crap just wasted,0
beautiful nonsensical bad dont bad cut unless bad bad just bad just mess bad,0
unbelievable,1
extraordinary extraordinary relationship strength dignity britain portrayal fragile sorry outstanding york laugh,1
yelling dont waste 1 hour laugh just else just dont waste bad,0
90 minutes saying awful anna charms helen broderick arden horrible just youve,0
oh chainsaw ann mean seriously scared heck depression heck kinda scarier ann creature ann ann ann journey just just ann worst just dont scared wtf ann just just plain just eating ann ann,1
ok just ridiculous couldve throw bad cringing badly just,0
reviews toby reallife york sidney stupid sidney effectively kirsten conflicted affections just fat stalwart miriam gillian danny huston,1
york bad provides just plot,0
bad plot ok terrible just annie beauty beauty unless screaming,0
sucks boring asleep,0
reviews spall connelly rea robinson jokes bargain bin walmart,1
suck just ridiculous just grabbed,0
charming glenn bafta loretta low just danny aiello mean ronny relationship starring vincent gardenia bafta olympia dukakis mahoney loretta ronny passions,1
gilliam decadent plot examination james cole cole dont ward oscarnominated cole kathryn railly madeleine stowe terrible cole cole screaming plot masterful alfred madeleine cole railly railly cole cole railly eva maria bernard herrmann judy madeleine madeleine stowe kathryn railly wig judy simmons james cole james stewart madeleine judy madeleine,1
